GRASS,21.76,20.4,17.92
GRASS,21.76,20.4,18.0
STONE,21.76,20.4,18.08
GRASS,21.76,20.32,18.08
STONE,21.76,20.4,18.16
GRASS,21.76,20.32,18.16
STONE,21.76,20.4,18.24
GRASS,21.76,20.32,18.24
GRASS,21.76,20.4,18.32
GRASS,21.76,20.4,18.4
GRASS,21.76,20.4,18.48
GRASS,21.76,20.4,18.56
GRASS,21.76,20.4,18.64
GRASS,21.76,20.4,18.72
GRASS,21.76,20.4,18.8
GRASS,21.76,20.4,18.88
GRASS,21.76,20.4,18.96
GRASS,21.76,20.4,19.04
STONE,21.76,20.32,19.12
STONE,21.76,20.4,19.12
GRASS,21.76,20.24,19.12
GRASS,21.84,20.4,17.92
GRASS,21.84,20.4,18.0
GRASS,21.84,20.4,18.08
STONE,21.84,20.4,18.16
GRASS,21.84,20.32,18.16
GRASS,21.84,20.4,18.24
GRASS,21.84,20.4,18.32
GRASS,21.84,20.4,18.4
GRASS,21.84,20.4,18.48
GRASS,21.84,20.4,18.56
GRASS,21.84,20.4,18.64
GRASS,21.84,20.4,18.72
GRASS,21.84,20.4,18.8
GRASS,21.84,20.4,18.88
GRASS,21.84,20.4,18.96
GRASS,21.84,20.4,19.04
GRASS,21.84,20.4,19.12
GRASS,21.92,20.4,17.92
GRASS,21.92,20.4,18.0
GRASS,21.92,20.4,18.08
GRASS,21.92,20.4,18.16
GRASS,21.92,20.4,18.24
GRASS,21.92,20.4,18.32
GRASS,21.92,20.4,18.4
GRASS,21.92,20.4,18.48
GRASS,21.92,20.4,18.56
GRASS,21.92,20.4,18.64
GRASS,21.92,20.4,18.72
GRASS,21.92,20.4,18.8
GRASS,21.92,20.4,18.88
GRASS,21.92,20.4,18.96
GRASS,21.92,20.4,19.04
GRASS,21.92,20.4,19.12
GRASS,22.0,20.4,17.92
GRASS,22.0,20.4,18.0
GRASS,22.0,20.4,18.08
GRASS,22.0,20.4,18.16
GRASS,22.0,20.4,18.24
GRASS,22.0,20.4,18.32
GRASS,22.0,20.4,18.4
GRASS,22.0,20.4,18.48
GRASS,22.0,20.4,18.56
GRASS,22.0,20.4,18.64
GRASS,22.0,20.4,18.72
GRASS,22.0,20.4,18.8
GRASS,22.0,20.4,18.88
